Bing_Crosby;TVMOV;647972;11.68%;15-Dec;25-12-2015;204;645371;11.63%;16-Dec;25-12-2016;240;744287;13.41%;17-Dec;25-12-2017;145;;;;;
BoJack_Horseman;TVMOV;370713;6.06%;16-Aug;10-8-2016;561;410735;6.72%;17-Sep;9-9-2017;377;403376;6.60%;18-Sep;15-9-2018;410;;;;;
Coachella_Valley_Music_and_Arts_Festival;TVMOV;724347;20.16%;16-Apr;18-4-2016;141;550834;15.33%;17-Apr;17-4-2017;234;639530;17.80%;18-Apr;15-4-2018;185;;;;;
Die_Hard;TVMOV;236606;7.03%;16-Jan;14-1-2016;Not in the Top 1000;247045;7.34%;16-Dec;25-12-2016;Not in the Top 1000;299448;8.90%;17-Dec;25-12-2017;842;;;;;
Elf_(film);TVMOV;358797;17.69%;15-Dec;25-12-2015;647;308470;15.21%;16-Dec;25-12-2016;917;338628;16.70%;17-Dec;25-12-2017;651;;;;;
Eurovision_Song_Contest;TVMOV;550794;17.20%;16-May;14-5-2016;258;451646;14.11%;17-May;13-5-2017;427;494335;15.44%;18-May;12-5-2018;359;;;;;
Golden_Globe_Award;TVMOV;537550;14.85%;16-Jan;11-1-2016;367;472098;13.04%;17-Jan;9-1-2017;543;426014;11.77%;18-Jan;8-1-2018;567;;;;;
Home_Alone;TVMOV;552521;12.21%;15-Dec;25-12-2015;289;595230;13.16%;16-Dec;25-12-2016;279;481833;10.65%;17-Dec;25-12-2017;338;;;;;
I'm_a_Celebrity...Get_Me_Out_of_Here!_(UK_TV_series);TVMOV;352556;13.77%;15-Nov;15-11-2015;568;347650;13.58%;16-Nov;13-11-2016;740;280421;10.95%;17-Nov;20-11-2017;909;;;;;
It's_a_Wonderful_Life;TVMOV;553151;16.44%;15-Dec;25-12-2015;288;657635;19.55%;16-Dec;25-12-2016;231;509527;15.14%;17-Dec;25-12-2017;308;;;;;
James_Stewart;TVMOV;417929;6.92%;15-Dec;25-12-2015;496;496309;8.22%;16-Dec;25-12-2016;393;452963;7.50%;17-Dec;25-12-2017;390;;;;;
John_Candy;TVMOV;309885;4.82%;15-Dec;27-12-2015;843;275415;4.28%;16-Dec;23-12-2016;Not in the Top 1000;326001;5.07%;17-Dec;25-12-2017;697;;;;;
List_of_Eurovision_Song_Contest_winners;TVMOV;361922;17.50%;16-May;14-5-2016;580;334600;16.17%;17-May;13-5-2017;758;401454;19.41%;18-May;12-5-2018;546;;;;;
List_of_Silicon_Valley_episodes;TVMOV;310502;8.86%;16-Jun;27-6-2016;734;340128;9.71%;17-Jun;26-6-2017;571;339849;9.70%;18-May;21-5-2018;715;;;;;
Natalie_Portman;TVMOV;754149;4.82%;15-Dec;20-12-2015;165;702122;4.49%;17-Jan;24-1-2017;260;629973;4.03%;18-Feb;4-2-2018;220;;;;;
National_Lampoon's_Christmas_Vacation;TVMOV;350807;17.88%;15-Dec;25-12-2015;685;370349;18.87%;16-Dec;25-12-2016;662;356155;18.15%;17-Dec;25-12-2017;594;;;;;
Peter_Billingsley;TVMOV;270312;20.81%;15-Dec;25-12-2015;Not in the Top 1000;283129;21.80%;16-Dec;25-12-2016;Not in the Top 1000;275965;21.25%;17-Dec;25-12-2017;1000;;;;;
Power_(TV_series);TVMOV;568538;6.69%;15-Aug;16-8-2015;208;472223;5.56%;16-Aug;22-8-2016;361;546750;6.44%;17-Aug;21-8-2017;200;;;;;
Silicon_Valley_(TV_series);TVMOV;477843;5.56%;16-May;16-5-2016;329;472701;5.50%;17-May;8-5-2017;388;446329;5.19%;18-May;14-5-2018;434;;;;;
Simon_Cowell;TVMOV;410687;4.51%;16-Jun;1-6-2016;437;436833;4.80%;17-Jun;28-6-2017;348;375355;4.12%;18-Jun;13-6-2018;554;;;;;
The_Elf_on_the_Shelf;TVMOV;490136;23.19%;15-Dec;1-12-2015;369;395070;18.69%;16-Dec;1-12-2016;594;376437;17.81%;17-Dec;1-12-2017;544;;;;;
The_Nutcracker;TVMOV;377424;11.27%;15-Dec;18-12-2015;601;426435;12.73%;16-Dec;18-12-2016;516;430436;12.85%;17-Dec;20-12-2017;419;;;;;
The_Polar_Express_(film);TVMOV;327815;15.25%;15-Dec;6-12-2015;763;357297;16.63%;16-Dec;24-12-2016;701;327824;15.25%;17-Dec;25-12-2017;690;;;;;
The_Twelve_Days_of_Christmas_(song);TVMOV;1214912;24.37%;15-Dec;17-12-2015;76;966088;19.38%;16-Dec;25-12-2016;105;926200;18.58%;17-Dec;25-12-2017;107;;;;;
Tim_Allen;TVMOV;317432;4.74%;15-Dec;10-12-2015;814;385489;5.76%;16-Dec;25-12-2016;616;376343;5.62%;17-Dec;25-12-2017;545;;;;;
White_Christmas_(film);TVMOV;363401;21.46%;15-Dec;25-12-2015;637;388667;22.95%;16-Dec;25-12-2016;610;404731;23.90%;17-Dec;25-12-2017;462;;;;;
Zooey_Deschanel;TVMOV;427395;4.36%;15-Dec;25-12-2015;473;458930;4.68%;16-Dec;25-12-2016;463;415045;4.23%;17-Dec;25-12-2017;440;;;;;
