Taylor_Momsen;TVMOV;385307;8.23%;15-Dec;25-12-2015;582;299033;6.39%;16-Dec;25-12-2016;968;378380;8.09%;17-Dec;25-12-2017;537;;;;;
The_Nutcracker;TVMOV;377424;11.27%;15-Dec;18-12-2015;601;426435;12.73%;16-Dec;18-12-2016;516;430436;12.85%;17-Dec;20-12-2017;419;;;;;
Donna_Reed;TVMOV;364462;16.38%;15-Dec;14-12-2015;633;283734;12.75%;16-Dec;25-12-2016;Not in the Top 1000;266065;11.96%;17-Dec;25-12-2017;Not in the Top 1000;;;;;
White_Christmas_(film);TVMOV;363401;21.46%;15-Dec;25-12-2015;637;388667;22.95%;16-Dec;25-12-2016;610;404731;23.90%;17-Dec;25-12-2017;462;;;;;
Elf_(film);TVMOV;358797;17.69%;15-Dec;25-12-2015;647;308470;15.21%;16-Dec;25-12-2016;917;338628;16.70%;17-Dec;25-12-2017;651;;;;;
National_Lampoon's_Christmas_Vacation;TVMOV;350807;17.88%;15-Dec;25-12-2015;685;370349;18.87%;16-Dec;25-12-2016;662;356155;18.15%;17-Dec;25-12-2017;594;;;;;
The_Polar_Express_(film);TVMOV;327815;15.25%;15-Dec;6-12-2015;763;357297;16.63%;16-Dec;24-12-2016;701;327824;15.25%;17-Dec;25-12-2017;690;;;;;
Rosemary_Clooney;TVMOV;323168;9.70%;15-Dec;25-12-2015;785;348494;10.46%;16-Dec;25-12-2016;737;435628;13.07%;17-Dec;25-12-2017;412;;;;;
The_Sound_of_Music_(film);TVMOV;300951;6.54%;15-Dec;21-12-2015;884;324207;7.05%;16-Dec;19-12-2016;837;427136;9.29%;17-Dec;18-12-2017;423;;;;;
Danny_Kaye;TVMOV;290927;12.26%;15-Dec;25-12-2015;946;287117;12.10%;16-Dec;25-12-2016;Not in the Top 1000;382936;16.14%;17-Dec;25-12-2017;519;;;;;
Golden_Globe_Award;TVMOV;537550;14.85%;16-Jan;11-1-2016;367;472098;13.04%;17-Jan;9-1-2017;543;426014;11.77%;18-Jan;8-1-2018;567;;;;;
Coachella_Valley_Music_and_Arts_Festival;TVMOV;724347;20.16%;16-Apr;18-04-2016;141;550834;15.33%;17-Apr;17-04-2017;234;639530;17.80%;18-Apr;15-04-2018;185;;;;;
Eurovision_Song_Contest;TVMOV;550794;17.20%;16-May;14-05-2016;258;451646;14.11%;17-May;13-05-2017;427;494335;15.44%;18-May;12-5-2018;359;;;;;
List_of_Eurovision_Song_Contest_winners;TVMOV;361922;17.50%;16-May;14-05-2016;580;334600;16.17%;17-May;13-05-2017;758;401454;19.41%;18-May;12-5-2018;546;;;;;
Die_Hard;TVMOV;236606;7.03%;16-Jan;14-01-2016;Not in the Top 1000;247045;7.34%;16-Dec;25-12-2016;Not in the Top 1000;299448;8.90%;17-Dec;25-12-2017;842;;;;;
Peter_Billingsley;TVMOV;270312;20.81%;15-Dec;25-12-2015;Not in the Top 1000;283129;21.80%;16-Dec;25-12-2016;Not in the Top 1000;275965;21.25%;17-Dec;25-12-2017;1000;;;;;
