Australian_Open;SPORT;371815;13.35%;16-Jan;31-1-2016;724;450308;16.16%;17-Jan;29-1-2017;587;399399;14.34%;18-Jan;28-1-2018;639;;;;;
Bill_Russell;SPORT;244921;6.14%;16-Jun;20-6-2016;Not in the Top 1000;385746;9.67%;17-Jun;27-6-2017;447;223527;5.61%;18-Jun;9-6-2018;Not in the Top 1000;;;;;
Chris_Froome;SPORT;433755;16.06%;16-Jul;24-7-2016;407;449842;16.66%;17-Jul;23-7-2017;367;250350;9.27%;18-Jul;29-7-2018;Not in the Top 1000;;;;;
Colin_Kaepernick;SPORT;1152953;10.64%;16-Aug;29-8-2016;68;990554;9.14%;17-Sep;25-9-2017;79;1847275;17.05%;18-Sep;5-9-2018;25;;;;;
College_football_national_championships_in_NCAA_Division_I_FBS;SPORT;310089;8.71%;16-Jan;12-1-2016;Not in the Top 1000;387566;10.89%;17-Jan;10-1-2017;774;291453;8.19%;18-Jan;9-1-2018;Not in the Top 1000;;;;;
Daniel_Cormier;SPORT;283657;5.31%;16-Jul;10-7-2016;909;423665;7.92%;17-Jul;30-7-2017;414;481992;9.02%;18-Jul;8-7-2018;385;;;;;
Draymond_Green;SPORT;507935;11.33%;16-Jun;20-6-2016;272;425134;9.49%;17-Jun;13-6-2017;372;302930;6.76%;18-Jun;9-6-2018;822;;;;;
FC_Barcelona;SPORT;454051;3.04%;15-Aug;11-8-2015;325;459318;3.08%;16-Jul;22-7-2016;360;607958;4.08%;17-Aug;3-8-2017;174;644772;4.32%;18-Jul;1-7-2018;206
Gianluigi_Buffon;SPORT;638289;9.08%;16-Jun;13-6-2016;183;439349;6.25%;17-Jun;3-6-2017;344;511509;7.28%;18-Jul;6-7-2018;334;;;;;
Golden_State_Warriors;SPORT;832911;8.62%;16-Jun;20-6-2016;103;989125;10.24%;17-Jun;13-6-2017;74;653143;6.76%;18-Jun;9-6-2018;191;;;;;
Indian_Premier_League;SPORT;449942;8.29%;16-Apr;9-4-2016;370;483274;8.90%;17-Apr;5-4-2017;306;629714;11.60%;18-Apr;7-4-2018;193;;;;;
John_McEnroe;SPORT;238948;5.43%;16-Jul;10-7-2016;Not in the Top 1000;391637;8.90%;17-Jul;16-7-2017;490;267249;6.07%;18-Jul;15-7-2018;Not in the Top 1000;;;;;
Juan_Martín_del_Potro;SPORT;382258;13.70%;16-Aug;14-8-2016;535;327023;11.72%;17-Sep;7-9-2017;614;431231;15.46%;18-Sep;9-9-2018;358;;;;;
Kentucky_Derby;SPORT;349105;15.65%;16-May;7-5-2016;621;397381;17.81%;17-May;6-5-2017;546;308018;13.81%;18-May;5-5-2018;873;;;;;
Klay_Thompson;SPORT;750377;12.21%;16-Jun;14-6-2016;135;476343;7.75%;17-Jun;13-6-2017;292;522253;8.50%;18-Jun;9-6-2018;289;;;;;
La_Liga;SPORT;339207;4.86%;16-May;14-5-2016;660;407462;5.83%;17-May;21-5-2017;525;272471;3.90%;18-May;6-5-2018;Not in the Top 1000;;;;;
Lance_Armstrong;SPORT;277804;5.55%;16-Jul;24-7-2016;942;267048;5.34%;17-Jul;23-7-2017;956;231577;4.63%;18-Jul;29-7-2018;Not in the Top 1000;;;;;
LeBron_James;SPORT;3059351;10.04%;16-Jun;20-6-2016;11;1888493;6.20%;17-Jun;13-6-2017;20;2158831;7.09%;18-Jun;9-6-2018;21;;;;;
Lewis_Hamilton;SPORT;318493;4.01%;15-Oct;26-10-2015;679;293461;3.70%;16-Nov;27-11-2016;Not in the Top 1000;490942;6.18%;17-Oct;30-10-2017;284;;;;;
List_of_English_football_champions;SPORT;312994;6.30%;16-May;3-5-2016;780;324426;6.53%;17-May;13-5-2017;808;250292;5.04%;18-Apr;15-4-2018;Not in the Top 1000;;;;;
List_of_European_Cup_and_UEFA_Champions_League_top_scorers;SPORT;188710;5.11%;16-Apr;13-4-2016;Not in the Top 1000;274497;7.43%;17-Apr;19-4-2017;985;159895;4.33%;18-Apr;4-4-2018;Not in the Top 1000;;;;;
List_of_Heisman_Trophy_winners;SPORT;414701;10.46%;15-Dec;13-12-2015;503;311491;7.86%;16-Dec;11-12-2016;908;324051;8.17%;17-Dec;10-12-2017;714;;;;;
List_of_Indian_Premier_League_records_and_statistics;SPORT;319880;11.19%;16-May;14-5-2016;746;328327;11.48%;17-Apr;23-4-2017;700;618240;21.62%;18-May;12-5-2018;248;;;;;
List_of_Masters_Tournament_champions;SPORT;397912;18.85%;16-Apr;10-4-2016;453;544211;25.78%;17-Apr;9-4-2017;240;502008;23.78%;18-Apr;8-4-2018;309;;;;;
List_of_NBA_champions;SPORT;1060052;7.73%;16-Jun;20-6-2016;67;1480514;10.80%;17-Jun;13-6-2017;37;1795159;13.09%;18-May;29-5-2018;45;;;;;
List_of_NBA_players_with_most_championships;SPORT;244289;7.06%;16-Jun;20-6-2016;Not in the Top 1000;282585;8.16%;17-Jun;13-6-2017;830;285439;8.25%;18-Jun;9-6-2018;926;;;;;
List_of_Stanley_Cup_champions;SPORT;299265;5.50%;16-Apr;26-4-2016;818;457883;8.42%;17-May;26-5-2017;414;330659;6.08%;18-May;24-5-2018;765;;;;;
